
Database             Time                 Version
-------------------- -------------------- ------------------------------
Start: ORCL          29-MAY-2023 08:15:06 Version 21.3.0.0.0

links_v based on arcs_bacon_numbers

View created.

Network detail

Network          #Links  #Nodes    Lev Node                                                                                  Link
--------------- ------- ------- ------ ------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------
Audrey Gelfund     3396     161      0 Audrey Gelfund                                                                        ROOT
                                     1 < Andy Dick                                                                           Being John Malkovich (1999)-1
                                     2   > Bill M. Ryusaki                                                                   Being John Malkovich (1999)-2
                                     3     < Audrey Gelfund*                                                                 Being John Malkovich (1999)-75
                                     3     > Bill Wittman                                                                    Being John Malkovich (1999)-148
                                     4       < Andy Dick*                                                                    Being John Malkovich (1999)-3
                                     4       < Audrey Gelfund*                                                               Being John Malkovich (1999)-76
                                     4       > Brad Pitt                                                                     Being John Malkovich (1999)-220
                                     5         < Andy Dick*                                                                  Being John Malkovich (1999)-4
                                     5         < Audrey Gelfund*                                                             Being John Malkovich (1999)-77
                                     5         < Bill M. Ryusaki*                                                            Being John Malkovich (1999)-149
                                     5         > Byrne Piven                                                                 Being John Malkovich (1999)-291
                                     6           < Andy Dick*                                                                Being John Malkovich (1999)-5
                                     6           < Audrey Gelfund*                                                           Being John Malkovich (1999)-78
                                     6           < Bill M. Ryusaki*                                                          Being John Malkovich (1999)-150
                                     6           < Bill Wittman*                                                             Being John Malkovich (1999)-221
                                     6           > Cameron Diaz                                                              Being John Malkovich (1999)-361
                                     7             < Andy Dick*                                                              Being John Malkovich (1999)-6
                                     7             < Audrey Gelfund*                                                         Being John Malkovich (1999)-79
                                     7             < Bill M. Ryusaki*                                                        Being John Malkovich (1999)-151
                                     7             < Bill Wittman*                                                           Being John Malkovich (1999)-222
                                     7             < Brad Pitt*                                                              Being John Malkovich (1999)-292
                                     7             > Carlos Jacott                                                           Being John Malkovich (1999)-430
                                     8               < Andy Dick*                                                            Being John Malkovich (1999)-7
                                     8               < Audrey Gelfund*                                                       Being John Malkovich (1999)-80
                                     8               < Bill M. Ryusaki*                                                      Being John Malkovich (1999)-152
                                     8               < Bill Wittman*                                                         Being John Malkovich (1999)-223
                                     8               < Brad Pitt*                                                            Being John Malkovich (1999)-293
                                     8               < Byrne Piven*                                                          Being John Malkovich (1999)-362
                                     8               > Catherine Keener                                                      Being John Malkovich (1999)-498
                                     9                 < Andy Dick*                                                          Being John Malkovich (1999)-8
                                     9                 < Audrey Gelfund*                                                     Being John Malkovich (1999)-81
                                     9                 < Bill M. Ryusaki*                                                    Being John Malkovich (1999)-153
                                     9                 < Bill Wittman*                                                       Being John Malkovich (1999)-224
                                     9                 < Brad Pitt*                                                          Being John Malkovich (1999)-294
                                     9                 < Byrne Piven*                                                        Being John Malkovich (1999)-363
                                     9                 < Cameron Diaz*                                                       Being John Malkovich (1999)-431
                                     9                 > Charlene Grimsley                                                   Being John Malkovich (1999)-565
                                    10                   < Andy Dick*                                                        Being John Malkovich (1999)-9
                                    10                   < Audrey Gelfund*                                                   Being John Malkovich (1999)-82
                                    10                   < Bill M. Ryusaki*                                                  Being John Malkovich (1999)-154
                                    10                   < Bill Wittman*                                                     Being John Malkovich (1999)-225
                                    10                   < Brad Pitt*                                                        Being John Malkovich (1999)-295
                                    10                   < Byrne Piven*                                                      Being John Malkovich (1999)-364
                                    10                   < Cameron Diaz*                                                     Being John Malkovich (1999)-432
                                    10                   < Carlos Jacott*                                                    Being John Malkovich (1999)-499
                                    10                   > Charlie Sheen                                                     Being John Malkovich (1999)-631
                                    11                     < Andy Dick*                                                      Being John Malkovich (1999)-10
